TransactionID,Item
1,Eggs
1,Milk
1,Jam
1,Juice
1,Cereal
2,Butter
2,Tea
2,Bread
2,Cheese
3,Eggs
3,Milk
3,Bread
3,Butter
3,Coffee
4,Butter
4,Tea
4,Cereal
5,Juice
6,Bread
7,Coffee
7,Cereal
7,Jam
8,Butter
8,Bread
8,Cereal
8,Tea
9,Milk
9,Tea
10,Juice
10,Bread
11,Juice
11,Milk
11,Cereal
11,Coffee
12,Cheese
12,Eggs
13,Bread
13,Coffee
14,Cereal
14,Juice
15,Jam
16,Coffee
16,Jam
17,Tea
17,Eggs
17,Coffee
17,Juice
18,Milk
18,Tea
18,Coffee
18,Juice
18,Cereal
19,Bread
19,Eggs
19,Butter
19,Milk
19,Tea
20,Tea
20,Eggs
20,Butter
21,Butter
21,Cheese
21,Eggs
21,Milk
21,Tea
22,Cereal
22,Eggs
22,Butter
22,Coffee
23,Tea
24,Bread
24,Cereal
24,Tea
24,Coffee
25,Eggs
25,Tea
26,Juice
26,Cereal
26,Cheese
26,Bread
27,Tea
27,Cheese
28,Tea
28,Juice
29,Tea
29,Juice
29,Eggs
29,Butter
30,Juice
30,Cheese
30,Tea
30,Eggs
31,Cheese
31,Juice
32,Bread
32,Butter
32,Eggs
33,Cereal
34,Juice
35,Milk
36,Cereal
36,Milk
36,Jam
36,Tea
37,Jam
37,Cereal
38,Tea
38,Jam
38,Juice
38,Coffee
39,Coffee
40,Coffee
41,Butter
42,Juice
43,Juice
43,Butter
43,Bread
43,Milk
44,Jam
44,Milk
45,Eggs
45,Butter
45,Bread
45,Cereal
46,Milk
46,Coffee
46,Cheese
46,Cereal
47,Butter
47,Milk
47,Coffee
48,Cheese
49,Milk
49,Cheese
49,Eggs
50,Milk
51,Tea
51,Jam
51,Bread
52,Jam
52,Juice
53,Cheese
53,Butter
53,Coffee
54,Cheese
54,Jam
54,Eggs
55,Butter
55,Eggs
55,Tea
55,Milk
55,Bread
56,Eggs
56,Cheese
56,Jam
56,Bread
57,Eggs
58,Butter
58,Jam
58,Bread
58,Cheese
58,Tea
59,Cheese
59,Cereal
59,Coffee
59,Bread
60,Eggs
60,Cereal
60,Coffee
60,Bread
60,Juice
61,Bread
61,Eggs
62,Milk
63,Cheese
63,Coffee
64,Jam
64,Milk
65,Juice
65,Coffee
66,Milk
67,Milk
67,Tea
67,Bread
67,Butter
67,Cheese
68,Tea
68,Jam
68,Bread
69,Milk
69,Tea
70,Tea
71,Butter
71,Juice
71,Coffee
72,Coffee
73,Milk
73,Coffee
74,Cheese
74,Juice
74,Coffee
75,Cheese
76,Butter
76,Cereal
76,Milk
76,Bread
76,Coffee
77,Cheese
78,Juice
78,Milk
78,Jam
78,Cheese
78,Eggs
79,Juice
79,Tea
79,Butter
79,Coffee
79,Jam
80,Milk
80,Cheese
81,Bread
81,Cheese
81,Milk
81,Jam
82,Milk
82,Tea
83,Cheese
83,Butter
83,Milk
83,Juice
83,Bread
84,Tea
84,Cereal
84,Cheese
84,Butter
84,Eggs
85,Milk
85,Eggs
86,Milk
86,Cheese
86,Coffee
86,Tea
87,Jam
87,Bread
88,Butter
88,Tea
88,Eggs
89,Coffee
90,Cereal
90,Coffee
90,Juice
91,Bread
91,Cereal
91,Milk
91,Eggs
92,Bread
92,Milk
92,Jam
92,Juice
92,Tea
93,Cereal
93,Milk
93,Cheese
93,Jam
93,Eggs
94,Butter
94,Cereal
94,Bread
94,Cheese
95,Coffee
95,Juice
95,Milk
95,Tea
95,Cereal
96,Eggs
96,Milk
97,Jam
97,Butter
98,Eggs
98,Jam
98,Bread
99,Bread
99,Cheese
99,Coffee
99,Milk
100,Cheese
100,Tea
101,Coffee
101,Tea
101,Bread
102,Tea
102,Bread
102,Eggs
103,Cheese
104,Cereal
104,Milk
105,Juice
106,Cereal
106,Milk
106,Eggs
106,Coffee
106,Bread
